accuracy@1,accuracy@5,accuracy@10
,sphinx-doc__sphinx-8506,scikit-learn__scikit-learn-14983
,sphinx-doc__sphinx-8595,scikit-learn__scikit-learn-25747
,sphinx-doc__sphinx-8713,sphinx-doc__sphinx-11445
,sphinx-doc__sphinx-8721,sphinx-doc__sphinx-8435
,sphinx-doc__sphinx-8801,sphinx-doc__sphinx-8506
,sympy__sympy-12454,sphinx-doc__sphinx-8595
,sympy__sympy-12481,sphinx-doc__sphinx-8713
,sympy__sympy-13043,sphinx-doc__sphinx-8721
,sympy__sympy-13177,sphinx-doc__sphinx-8801
,sympy__sympy-13437,sympy__sympy-12454
,sympy__sympy-14308,sympy__sympy-12481
,sympy__sympy-14774,sympy__sympy-13043
,sympy__sympy-15011,sympy__sympy-13177
,sympy__sympy-15345,sympy__sympy-13437
,sympy__sympy-15609,sympy__sympy-14308
,sympy__sympy-15678,sympy__sympy-14774
,sympy__sympy-16988,sympy__sympy-15011
,sympy__sympy-17630,sympy__sympy-15345
,sympy__sympy-18189,sympy__sympy-15609
,sympy__sympy-18532,sympy__sympy-15678
,sympy__sympy-18621,sympy__sympy-16988
,sympy__sympy-18698,sympy__sympy-17630
,sympy__sympy-19007,sympy__sympy-18189
,sympy__sympy-19254,sympy__sympy-18532
,sympy__sympy-19487,sympy__sympy-18621
,sympy__sympy-20049,sympy__sympy-18698
,sympy__sympy-20154,sympy__sympy-19007
,sympy__sympy-22005,sympy__sympy-19254
,sympy__sympy-22840,sympy__sympy-19487
,sympy__sympy-24152,sympy__sympy-20049
,sympy__sympy-24909,sympy__sympy-20154
,,sympy__sympy-22005
,,sympy__sympy-22840
,,sympy__sympy-24152
,,sympy__sympy-24909
